iter	Logloss	Accuracy
0	0.6827619597	0.7209794844
1	0.6728732334	0.7209794844
2	0.664554232	0.7417478691
3	0.6560484112	0.7357086414
4	0.6481784732	0.7358452755
5	0.6410146301	0.736701516
6	0.6341289514	0.7360525039
7	0.6283034554	0.7430754972
8	0.621714871	0.7439750051
9	0.6159986126	0.743596984
10	0.6108876913	0.7435150036
11	0.6057971625	0.7440296587
12	0.6015746292	0.7504878976
13	0.5966082218	0.7505266106
14	0.5919935246	0.7504878976
15	0.5876331412	0.7506495813
16	0.5837558169	0.7503057188
17	0.5799053939	0.7503148278
18	0.5762092418	0.7507679976
19	0.5729281908	0.7512667121
20	0.5696121234	0.7508180967
21	0.566700738	0.7518382981
22	0.5637516727	0.7517927534
23	0.5616430207	0.7520546354
24	0.5590529172	0.7512780982
25	0.5567404698	0.7510708698
26	0.5546724589	0.7518496843
27	0.5526006156	0.7532957286
28	0.5504291189	0.7532456294
29	0.548463241	0.7533162237
30	0.5467701614	0.7550241501
31	0.5447734283	0.7550696948
32	0.5430717108	0.7550264273
33	0.5416288931	0.7551790021
34	0.5399985545	0.7553406858
35	0.5384881996	0.7552632598
36	0.537037308	0.7554750426
37	0.5354759742	0.7554545475
38	0.5341744839	0.7555547459
39	0.5330317972	0.7555866272
40	0.5319635937	0.7554636565
41	0.5307526533	0.755527419
42	0.5296456059	0.7554727654
43	0.5285217521	0.7554431613
44	0.5276170928	0.7555228646
45	0.5266819089	0.7555820727
46	0.525844092	0.7557073206
47	0.5249665894	0.7557369247
48	0.5241358281	0.7558143507
49	0.5231989064	0.7558166279
50	0.5223402454	0.7557756377
51	0.5216730095	0.7558667271
52	0.5209338371	0.7558986084
53	0.5202555322	0.7559988067
54	0.5194660253	0.7558963311
55	0.5188766057	0.7559373214
56	0.5182428997	0.7559555393
57	0.5177414789	0.7572057414
58	0.5169935592	0.7559373214
59	0.5163071904	0.755953262
60	0.5157267505	0.7576133665
61	0.5152186036	0.7575905941
62	0.5146028792	0.7576019803
63	0.514046752	0.7564109863
64	0.5135616506	0.7564656399
65	0.5130900283	0.7577682185
66	0.5126261789	0.7579800013
67	0.5121946391	0.7579071298
68	0.5118101048	0.7579845558
69	0.5114403844	0.7584650524
70	0.5111211926	0.7586016865
71	0.5107847707	0.7585720825
72	0.5104658127	0.7584103988
73	0.5100262316	0.7583602996
74	0.5096036142	0.7587451523
75	0.509271007	0.7583602996
76	0.508999717	0.7587975287
77	0.5087354692	0.7588977271
78	0.5083623539	0.7588157466
79	0.5080388097	0.7589000043
80	0.507774475	0.7589865393
81	0.5075107104	0.759022975
82	0.5073023695	0.7590093116
83	0.5070486376	0.7588134694
84	0.5068340151	0.7590981238
85	0.5065347564	0.7591140644
86	0.5062647806	0.7591231734
87	0.5060408565	0.7593349562
88	0.5058050941	0.7592871343
89	0.5055827048	0.759371392
90	0.5053832733	0.7592757481
91	0.5051816116	0.7593372335
92	0.5050185256	0.7594693131
93	0.5047734402	0.7594647586
94	0.5045611799	0.7594920855
95	0.5043862957	0.7595216895
96	0.5042180056	0.7595171351
97	0.5040621501	0.7595399074
98	0.5039036984	0.7595558481
99	0.503703987	0.7595581253
100	0.5035551612	0.7595558481
101	0.5034091125	0.7595717887
102	0.5032705857	0.7595080261
103	0.5031314452	0.7595968383
104	0.5029522877	0.7595444619
105	0.5028375526	0.7595285212
106	0.5026826711	0.759526244
107	0.5025651048	0.7595922838
108	0.5024145287	0.7596446602
109	0.5022774836	0.759633274
110	0.502135065	0.75960367
111	0.5020080946	0.7596446602
112	0.501898585	0.7596264423
113	0.5017890542	0.7595854521
114	0.501698856	0.7596560464
115	0.5015944136	0.7596469375
116	0.5015008077	0.7598086212
117	0.5014054647	0.7597767399
118	0.5013199366	0.7597015911
119	0.5012247701	0.7596902049
