iter	Passed	Remaining
0	57	57143
1	112	56337
2	167	55792
3	223	55734
4	288	57368
5	342	56702
6	398	56546
7	453	56267
8	507	55894
9	563	55830
10	618	55639
11	679	55957
12	733	55663
13	786	55426
14	842	55329
15	896	55161
16	952	55085
17	1008	55017
18	1064	54972
19	1121	54939
20	1177	54893
21	1235	54926
22	1298	55161
23	1358	55231
24	1411	55063
25	1469	55043
26	1526	54997
27	1579	54847
28	1637	54829
29	1692	54713
30	1745	54576
31	1799	54446
32	1857	54425
33	1912	54325
34	1967	54245
35	2021	54137
36	2076	54055
37	2132	53998
38	2187	53891
39	2244	53857
40	2307	53980
41	2361	53868
42	2416	53771
43	2470	53685
44	2525	53591
45	2579	53499
46	2635	53434
47	2690	53357
48	2745	53281
49	2802	53255
50	2860	53229
51	2919	53232
52	2994	53497
53	3068	53761
54	3167	54429
55	3237	54577
56	3301	54620
57	3357	54533
58	3410	54396
59	3468	54333
60	3522	54219
61	3576	54107
62	3635	54072
63	3694	54029
64	3748	53920
65	3804	53842
66	3860	53758
67	3917	53694
68	3971	53581
69	4029	53532
70	4134	54097
71	4239	54647
72	4308	54717
73	4364	54612
74	4417	54477
75	4476	54426
76	4532	54336
77	4585	54203
78	4639	54086
79	4698	54030
80	4751	53912
81	4806	53806
82	4861	53709
83	4915	53604
84	4975	53558
85	5032	53483
86	5086	53380
87	5140	53273
88	5196	53188
89	5252	53112
90	5315	53092
91	5368	52981
92	5425	52909
93	5478	52802
94	5532	52707
95	5587	52619
96	5643	52539
97	5701	52481
98	5757	52399
99	5811	52304
100	5866	52221
101	5922	52140
102	5977	52055
103	6036	52002
104	6093	51941
105	6146	51836
106	6202	51764
107	6256	51674
108	6310	51587
109	6369	51534
110	6424	51454
111	6482	51397
112	6533	51287
113	6588	51203
114	6641	51114
115	6695	51020
116	6747	50923
117	6805	50869
118	6859	50782
119	6915	50716
120	6969	50630
121	7024	50555
122	7079	50480
123	7132	50388
124	7186	50307
125	7247	50271
126	7302	50195
127	7366	50182
128	7426	50145
129	7534	50421
130	7642	50699
131	7696	50612
132	7747	50506
133	7805	50442
134	7860	50363
135	7918	50307
136	7974	50235
137	8032	50172
138	8090	50113
139	8143	50021
140	8201	49965
141	8260	49909
142	8317	49847
143	8378	49807
144	8434	49735
145	8488	49649
146	8546	49593
147	8599	49507
148	8659	49460
149	8712	49371
150	8769	49304
151	8824	49232
152	8879	49157
153	8936	49092
154	8993	49028
155	9051	48970
156	9104	48885
157	9159	48812
158	9215	48744
159	9274	48691
160	9326	48604
161	9388	48567
162	9446	48508
163	9499	48425
164	9552	48342
165	9612	48296
166	9670	48236
167	9724	48159
168	9780	48090
169	9832	48007
170	9886	47929
171	9958	47937
172	10014	47873
173	10069	47802
174	10122	47722
175	10176	47642
176	10236	47595
177	10290	47521
178	10346	47455
179	10402	47387
180	10456	47314
181	10508	47229
182	10560	47145
183	10615	47075
184	10669	47004
185	10727	46947
186	10781	46873
187	10839	46818
188	10892	46737
189	10945	46660
190	10998	46586
191	11051	46507
192	11109	46450
193	11167	46397
194	11226	46345
195	11280	46273
196	11333	46197
197	11396	46161
198	11453	46100
199	11511	46047
200	11564	45971
201	11620	45906
202	11678	45851
203	11738	45801
204	11793	45736
205	11853	45686
206	11905	45607
207	11960	45541
208	12015	45476
209	12073	45420
210	12132	45366
211	12185	45293
212	12239	45221
213	12292	45148
214	12344	45072
215	12411	45047
216	12469	44994
217	12522	44921
218	12575	44846
219	12636	44803
220	12690	44733
221	12742	44655
222	12793	44576
223	12848	44510
224	12905	44452
225	12964	44400
226	13025	44355
227	13081	44293
228	13139	44238
229	13191	44162
230	13293	44255
231	13370	44259
232	13465	44327
233	13531	44294
234	13591	44244
