iter	Logloss	Accuracy
0	0.6342652799	0.7216672094
1	0.5962562402	0.7463410524
2	0.5721937947	0.7471471936
3	0.5553561953	0.7488460111
4	0.5434038801	0.7482858112
5	0.5337377186	0.7517745355
6	0.5270417654	0.7512439397
7	0.5211571878	0.7510276024
8	0.517274473	0.7560193018
9	0.5138011537	0.7552245468
10	0.5112570855	0.7560602921
11	0.5089928979	0.7565180163
12	0.5070953112	0.7564633627
13	0.505938484	0.7565020757
14	0.5049057263	0.7582259427
15	0.5040626928	0.7580141598
16	0.5030416409	0.7582396061
17	0.5024412105	0.7580232688
18	0.5016916887	0.7582942598
19	0.501154279	0.758373963
20	0.5007176632	0.7585083199
21	0.5003475094	0.7585310922
22	0.4999177252	0.7586677263
23	0.4996478971	0.7586608946
24	0.4993666145	0.7587815881
25	0.4990608376	0.7587269345
26	0.4988782787	0.7588726775
27	0.4986581692	0.7589250539
28	0.4984741067	0.7589273311
29	0.4982848945	0.7591186189
30	0.498151529	0.7591208961
31	0.4980121609	0.7590890148
32	0.4978490484	0.7590912921
33	0.4977097796	0.7590867376
34	0.4976338559	0.7591892132
35	0.4974881312	0.759139114
36	0.4973911175	0.7592484213
37	0.4973161519	0.7592871343
38	0.4972437114	0.7593417879
39	0.4971734096	0.7592119855
40	0.4971313562	0.7591527774
41	0.4970794979	0.7591914904
42	0.4969953253	0.7592142628
43	0.4969154552	0.7592825798
44	0.4968187276	0.7593827782
45	0.4967435124	0.7593349562
46	0.496613676	0.7593668375
47	0.4965705057	0.759332679
48	0.4964877774	0.7594351546
49	0.4964296086	0.7595968383
50	0.4963649518	0.7595399074
51	0.4962954082	0.7596492147
52	0.4962294963	0.7597334724
53	0.4961847544	0.7598723837
54	0.4961328252	0.7598518886
55	0.4960956352	0.7598769382
56	0.4960349253	0.7599384236
57	0.4959749488	0.7599885227
58	0.4959640648	0.7600317902
59	0.4958701806	0.7598200073
60	0.4958592496	0.7598473342
61	0.4958108628	0.7599156512
62	0.4957693965	0.7599611959
63	0.495743318	0.7598473342
64	0.495701077	0.7599976317
65	0.4956458593	0.7600181268
66	0.4956128588	0.7600841666
67	0.4955732234	0.7600431764
68	0.4955590888	0.7601228796
69	0.4955461662	0.7602003056
70	0.4955392192	0.7601638698
71	0.4955157796	0.7601206024
72	0.4954745452	0.7601297113
73	0.4954484604	0.7602185235
74	0.4954045725	0.7601798105
75	0.4953565055	0.7600818894
76	0.4953158442	0.760136543
77	0.4953121424	0.7601820877
78	0.495292255	0.7600796121
79	0.4952555487	0.7601934739
