iter	Passed	Remaining
0	283	141475
1	518	129026
2	724	120065
3	979	121466
4	1174	116323
5	1336	110023
6	1561	110008
7	1771	108933
8	1996	108938
9	2218	108702
10	2440	108496
11	2639	107348
12	2875	107720
13	3076	106800
14	3331	107725
15	3577	108220
16	3791	107723
17	4022	107720
18	4226	107005
19	4444	106677
20	4706	107351
21	4962	107814
22	5179	107423
23	5391	106933
24	5592	106263
25	5761	105028
26	6019	105447
27	6217	104815
28	6430	104440
29	6669	104490
30	6887	104197
31	7135	104355
32	7548	106821
33	7780	106636
34	8036	106766
35	8258	106438
36	8447	105703
37	8687	105624
38	8924	105490
39	9180	105572
40	9440	105686
41	9714	105937
42	9954	105793
43	10134	105025
44	10364	104793
45	10571	104332
46	10823	104324
47	11050	104057
48	11299	104003
49	11491	103424
50	11657	102633
51	11850	102099
52	12090	101967
53	12291	101516
54	12533	101405
55	12752	101107
56	13009	101108
57	13263	101075
58	13477	100736
59	13726	100657
60	13918	100166
61	14145	99928
62	14396	99864
63	14651	99814
64	14996	100358
65	15194	99915
66	15411	99601
67	15634	99323
68	15838	98934
69	16071	98724
70	16258	98240
71	16474	97930
72	16734	97884
73	16939	97515
74	17162	97253
75	17433	97260
76	17603	96706
77	17866	96662
78	18093	96421
79	18316	96161
80	18515	95778
81	18748	95571
82	19020	95560
83	19257	95370
84	19457	94995
85	19659	94640
86	19909	94511
87	20133	94262
88	20321	93842
89	20516	93463
90	20727	93160
91	20896	92670
92	21118	92421
93	21326	92112
94	21586	92028
95	21800	91743
96	22021	91492
97	22243	91242
98	22470	91015
99	22703	90812
100	22914	90525
101	23164	90388
102	23404	90208
103	23653	90065
104	23829	89644
105	24032	89328
106	24240	89034
107	24431	88676
108	24627	88344
109	24836	88056
110	25023	87693
111	25233	87415
112	25432	87100
113	25663	86895
114	25865	86593
115	26079	86331
116	26290	86062
117	26529	85882
118	26737	85603
119	26950	85342
120	27158	85066
121	27386	84852
122	27590	84564
123	27772	84213
124	28005	84015
125	28271	83917
126	28462	83593
127	28692	83386
128	28929	83199
129	29119	82879
130	29322	82594
131	29521	82303
132	29769	82145
133	30042	82055
134	30286	81884
135	30484	81591
136	30672	81270
137	30867	80970
138	31090	80746
139	31312	80517
140	31552	80335
141	31787	80140
142	32009	79911
143	32231	79682
144	32418	79370
145	32630	79117
146	32823	78820
147	33005	78499
148	33194	78196
149	33387	77903
150	33586	77627
151	33769	77314
152	33982	77072
153	34184	76805
154	34361	76481
155	34552	76192
156	34751	75921
157	34948	75648
158	35141	75365
159	35362	75144
160	35601	74961
161	35802	74698
162	36030	74493
163	36215	74198
164	36418	73939
165	36581	73604
166	36790	73360
167	36972	73065
168	37173	72807
169	37423	72645
170	37640	72420
171	37872	72222
172	38101	72018
173	38362	71874
174	38624	71731
175	38818	71462
176	38987	71145
177	39199	70910
178	39445	70738
179	39686	70554
180	39935	70384
181	40139	70134
182	40360	69913
183	40603	69731
184	40821	69507
185	41041	69284
186	41254	69051
187	41466	68816
188	41710	68635
189	41933	68417
190	42145	68182
191	42365	67961
192	42599	67761
193	42828	67553
194	43039	67318
195	43240	67066
196	43492	66894
197	43698	66651
198	43911	66418
199	44081	66121
200	44278	65867
201	44451	65577
202	44710	65414
203	44942	65211
204	45135	64951
205	45300	64652
206	45503	64408
207	45672	64117
208	45879	63880
209	46098	63660
210	46293	63406
211	46509	63183
212	46717	62947
213	46905	62687
214	47133	62478
215	47332	62233
216	47493	61937
217	47711	61719
218	47947	61521
219	48112	61234
220	48294	60968
221	48481	60710
222	48731	60532
223	48926	60284
224	49163	60088
225	49351	59832
226	49558	59600
227	49779	59385
228	49975	59141
229	50146	58867
230	50415	58709
231	50642	58501
232	50872	58296
233	51069	58053
234	51271	57816
235	51447	57551
236	51685	57356
237	51881	57113
238	52057	56849
239	52277	56634
240	52498	56419
241	52718	56203
242	52912	55961
243	53170	55785
244	53350	55528
245	53577	55320
246	53770	55077
247	53954	54824
248	54174	54610
249	54378	54378
250	54610	54175
251	54855	53984
252	55036	53731
253	55239	53499
254	55515	53338
255	55683	53072
256	55874	52830
257	56081	52604
258	56260	52350
259	56493	52148
260	56666	51889
261	56891	51680
262	57132	51484
263	57378	51292
264	57606	51085
265	57791	50839
266	57983	50599
267	58187	50370
268	58366	50121
269	58562	49886
270	58788	49677
271	59069	49514
272	59249	49265
273	59467	49049
274	59700	48846
275	59944	48650
276	60140	48416
277	60333	48179
278	60539	47954
279	60729	47716
280	60898	47462
281	61123	47251
282	61389	47072
283	61578	46834
284	61774	46602
285	61978	46375
286	62190	46155
287	62388	45924
288	62587	45695
289	62783	45464
290	63049	45283
291	63225	45037
292	63423	44807
293	63647	44596
294	63874	44387
295	64074	44159
296	64276	43932
297	64466	43698
298	64680	43481
299	64857	43238
300	65069	43019
301	65280	42799
302	65451	42554
303	65647	42325
304	65845	42097
305	66058	41880
306	66238	41642
307	66513	41463
308	66748	41258
309	66926	41019
310	67130	40796
311	67322	40566
312	67528	40344
313	67694	40099
314	67920	39889
315	68136	39674
316	68358	39462
317	68556	39236
318	68772	39021
319	68963	38791
320	69232	38606
321	69530	38436
322	69748	38221
323	69943	37993
324	70142	37769
325	70334	37540
326	70524	37311
327	70726	37088
328	70923	36863
329	71142	36648
330	71354	36431
331	71552	36207
332	71781	35998
333	71980	35774
334	72167	35545
335	72373	35325
336	72555	35093
337	72751	34868
338	72944	34643
339	73147	34422
340	73363	34207
341	73576	33991
342	73762	33763
343	73980	33549
344	74166	33321
345	74347	33090
346	74614	32899
347	74948	32736
348	75160	32519
349	75345	32291
350	75569	32079
351	75778	31861
352	76008	31652
353	76203	31428
354	76381	31198
355	76584	30977
356	76786	30757
357	76961	30526
358	77155	30303
359	77338	30075
360	77546	29858
361	77821	29666
362	78046	29455
363	78267	29242
364	78449	29015
365	78641	28792
366	78838	28571
367	79026	28346
368	79195	28115
369	79392	27894
370	79665	27700
371	79860	27479
372	80074	27264
373	80268	27042
374	80538	26846
375	80746	26629
376	80950	26410
377	81143	26189
378	81343	25969
379	81513	25741
380	81749	25533
381	81927	25307
382	82112	25084
383	82334	24871
384	82521	24649
385	82749	24438
386	82919	24211
387	83200	24016
388	83437	23808
389	83668	23598
390	83894	23387
391	84113	23174
392	84308	22954
393	84526	22740
394	84712	22518
395	84905	22298
396	85081	22074
397	85285	21857
398	85472	21635
399	85634	21408
400	85824	21188
401	85997	20964
402	86223	20753
403	86436	20539
404	86688	20334
405	86873	20113
406	87053	19891
407	87267	19677
408	87455	19458
409	87656	19241
410	87889	19032
411	88106	18818
412	88292	18599
413	88511	18386
414	88712	18169
415	88942	17959
416	89170	17748
417	89372	17532
418	89565	17314
419	89927	17129
420	90174	16921
421	90414	16711
422	90682	16507
423	90948	16302
424	91129	16081
425	91313	15861
426	91510	15644
427	91713	15428
428	91918	15212
429	92094	14992
430	92298	14776
431	92451	14552
432	92628	14332
433	92838	14118
434	93036	13901
435	93210	13682
436	93396	13464
437	93582	13246
438	93759	13028
